Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,72.510002,73.849998,72.510002,73.849998,59.418724,130700
2010-01-05,74.849998,75.349998,74.709999,75.300003,60.585377,92400
2010-01-06,75.570000,75.790001,75.330002,75.690002,60.899166,72900
2010-01-07,74.830002,75.150002,74.470001,75.050003,60.384239,219400
2010-01-08,74.739998,75.180000,74.349998,75.180000,60.488831,67600
2010-01-11,75.500000,75.650002,75.000000,75.379997,60.649754,96600
2010-01-12,74.389999,74.389999,73.279999,73.879997,59.442871,73500
2010-01-13,73.139999,73.769997,72.830002,73.769997,59.354359,68000
2010-01-14,73.260002,73.360001,72.849998,73.150002,58.855518,77600
2010-01-15,72.589996,73.239998,71.989998,72.250000,58.131393,84700
2010-01-19,73.000000,73.849998,72.739998,73.849998,59.418724,60600
2010-01-20,71.660004,71.910004,71.000000,71.650002,57.648647,200900
2010-01-21,70.620003,70.620003,68.730003,68.910004,55.444077,261900
2010-01-22,69.010002,69.150002,67.470001,67.629997,54.414200,240300
2010-01-25,68.720001,68.900002,68.080002,68.519997,55.130280,149800
2010-01-26,67.519997,67.519997,66.239998,66.650002,53.625713,251500
2010-01-27,66.000000,66.279999,65.050003,66.139999,53.215366,198400
2010-01-28,66.860001,66.930000,65.500000,65.970001,53.078587,118800
2010-01-29,66.690002,67.000000,65.510002,65.589996,52.772835,109800
2010-02-01,66.500000,67.550003,66.400002,67.449997,54.269371,103400
2010-02-02,67.260002,68.500000,67.150002,68.279999,54.937168,86800
2010-02-03,68.820000,69.000000,68.239998,68.570000,55.170513,66600
2010-02-04,67.349998,67.349998,65.360001,65.360001,52.587784,164900
2010-02-05,64.809998,64.900002,63.150002,64.720001,52.072845,417900
2010-02-08,64.279999,64.849998,63.770000,63.770000,51.308495,126800
2010-02-09,65.040001,66.190002,64.629997,65.419998,52.636063,125300
2010-02-10,66.050003,66.500000,65.220001,66.110001,53.191216,98800
2010-02-11,66.629997,67.699997,66.300003,67.620003,54.406147,85200
2010-02-12,66.610001,66.980003,66.040001,66.889999,53.818794,72200
2010-02-16,67.489998,68.199997,67.070000,68.080002,54.776253,73900
2010-02-17,68.650002,68.660004,67.900002,68.150002,54.832584,42300
2010-02-18,67.830002,68.650002,67.690002,68.529999,55.138332,62500
2010-02-19,67.209999,67.669998,66.910004,67.379997,54.213043,109100
2010-02-22,67.830002,68.000000,67.449997,67.629997,54.414200,44400
2010-02-23,67.910004,68.080002,66.699997,67.000000,53.907310,67300
2010-02-24,67.720001,68.349998,67.650002,68.220001,54.888901,37300
2010-02-25,66.669998,67.809998,66.500000,67.620003,54.406147,131900
2010-02-26,68.059998,68.760002,67.769997,68.570000,55.170513,72400
2010-03-01,69.570000,70.209999,69.550003,69.940002,56.272793,53300
2010-03-02,70.699997,70.910004,70.199997,70.379997,56.626808,50500
2010-03-03,70.430000,70.989998,70.209999,70.260002,56.530262,36900
2010-03-04,69.730003,69.800003,69.120003,69.379997,55.822231,122100
2010-03-05,70.529999,71.129997,70.190002,71.129997,57.230270,91500
2010-03-08,71.389999,71.849998,71.389999,71.629997,57.632526,81300
2010-03-09,71.489998,72.430000,71.489998,71.989998,57.922199,65200
2010-03-10,71.879997,72.730003,71.879997,72.410004,58.260113,45800
2010-03-11,71.949997,72.470001,71.500000,72.440002,58.284264,81300
2010-03-12,72.379997,72.379997,71.639999,71.970001,57.906105,88400
2010-03-15,71.279999,71.570000,70.989998,71.320000,57.383114,135600
2010-03-16,71.250000,71.680000,70.919998,71.610001,57.616459,53400
2010-03-17,72.279999,72.809998,72.190002,72.389999,58.244038,53700
2010-03-18,72.320000,72.320000,71.790001,72.230003,58.115295,45600
2010-03-19,71.529999,72.360001,71.360001,71.529999,57.552082,34100
2010-03-22,70.660004,71.660004,70.519997,71.599998,57.608406,61800
2010-03-23,71.290001,71.610001,70.989998,71.440002,57.479683,57800
2010-03-24,70.989998,70.989998,70.309998,70.690002,56.876240,65300
2010-03-25,70.690002,70.949997,69.629997,69.800003,56.160149,66800
2010-03-26,70.800003,71.500000,70.430000,71.059998,57.173920,34900
2010-03-29,71.400002,72.129997,71.400002,71.980003,57.914162,99200
2010-03-30,72.489998,72.959999,72.330002,72.669998,58.469318,72100
2010-03-31,72.209999,72.550003,71.889999,72.029999,57.954391,38600
2010-04-01,73.199997,73.940002,73.199997,73.940002,59.491150,86100
2010-04-05,74.419998,75.050003,74.080002,74.820000,60.199173,180400
2010-04-06,74.480003,74.970001,74.320000,74.970001,60.319855,191600
2010-04-07,75.029999,75.059998,74.099998,74.690002,60.094570,151500
